,Years,Country,Capital,Latitude,Longditude,Percent_of_Health_Spending,Percent_of_GDP,USD_per_Capita,Total_Spending_in_Millions_USD
0,1971,AUS,Canberra,-35.26666667,149.133333,15.992,0.727,35.72,462.11
1,1972,AUS,Canberra,-35.26666667,149.133333,15.091,0.686,36.056,475.11
2,1973,AUS,Canberra,-35.26666667,149.133333,15.117,0.681,39.871,533.47
3,1974,AUS,Canberra,-35.26666667,149.133333,14.771,0.755,47.559,652.65
4,1975,AUS,Canberra,-35.26666667,149.133333,11.849,0.682,47.561,660.76
5,1976,AUS,Canberra,-35.26666667,149.133333,10.92,0.63,46.908,658.26
6,1977,AUS,Canberra,-35.26666667,149.133333,10.087,0.613,47.649,676.23
7,1978,AUS,Canberra,-35.26666667,149.133333,9.958,0.591,50.799,729.37
8,1979,AUS,Canberra,-35.26666667,149.133333,8.981,0.523,49.766,722.3
9,1980,AUS,Canberra,-35.26666667,149.133333,9.263,0.54,56.972,837.03
10,1981,AUS,Canberra,-35.26666667,149.133333,9.388,0.548,65.39,976.08
11,1982,AUS,Canberra,-35.26666667,149.133333,9.248,0.564,67.606,1026.12
12,1983,AUS,Canberra,-35.26666667,149.133333,9.589,0.58,74.083,1138.58
13,1984,AUS,Canberra,-35.26666667,149.133333,9.465,0.569,77.27,1201.08
14,1985,AUS,Canberra,-35.26666667,149.133333,9.56,0.58,84.134,1325.78
15,1986,AUS,Canberra,-35.26666667,149.133333,9.568,0.599,89.94,1440.69
16,1987,AUS,Canberra,-35.26666667,149.133333,9.543,0.582,93.578,1521.94
17,1988,AUS,Canberra,-35.26666667,149.133333,9.823,0.595,102.027,1686.73
18,1989,AUS,Canberra,-35.26666667,149.133333,10.199,0.623,111.197,1869.71
19,1990,AUS,Canberra,-35.26666667,149.133333,10.474,0.677,120.773,2061.0
20,1991,AUS,Canberra,-35.26666667,149.133333,10.937,0.739,134.356,2322.21
21,1992,AUS,Canberra,-35.26666667,149.133333,11.407,0.778,149.096,2608.43
22,1993,AUS,Canberra,-35.26666667,149.133333,11.977,0.819,165.359,2921.4
23,1994,AUS,Canberra,-35.26666667,149.133333,12.508,0.859,183.972,3284.82
24,1995,AUS,Canberra,-35.26666667,149.133333,12.762,0.882,198.406,3585.59
25,1996,AUS,Canberra,-35.26666667,149.133333,13.106,0.924,215.606,3947.96
26,1997,AUS,Canberra,-35.26666667,149.133333,13.437,0.95,232.59,4306.87
27,1998,AUS,Canberra,-35.26666667,149.133333,14.084,1.019,261.728,4897.19
28,1999,AUS,Canberra,-35.26666667,149.133333,14.679,1.075,291.589,5518.61
29,2000,AUS,Canberra,-35.26666667,149.133333,15.702,1.194,338.665,6486.45
30,2001,AUS,Canberra,-35.26666667,149.133333,16.059,1.236,364.771,7081.3
31,2002,AUS,Canberra,-35.26666667,149.133333,15.374,1.213,373.044,7330.84
32,2003,AUS,Canberra,-35.26666667,149.133333,15.761,1.244,401.302,7984.06
33,2004,AUS,Canberra,-35.26666667,149.133333,15.656,1.269,429.882,8652.41
34,2005,AUS,Canberra,-35.26666667,149.133333,15.218,1.213,432.513,8821.02
35,2006,AUS,Canberra,-35.26666667,149.133333,15.276,1.219,461.821,9558.72
36,2007,AUS,Canberra,-35.26666667,149.133333,15.201,1.225,485.887,10119.86
37,2008,AUS,Canberra,-35.26666667,149.133333,15.412,1.273,510.172,10840.75
38,2009,AUS,Canberra,-35.26666667,149.133333,15.535,1.334,553.724,12011.21
39,2010,AUS,Canberra,-35.26666667,149.133333,15.63,1.324,563.857,12422.76
40,2011,AUS,Canberra,-35.26666667,149.133333,15.311,1.315,580.921,12977.79
41,2012,AUS,Canberra,-35.26666667,149.133333,15.308,1.336,582.874,13247.71
42,2013,AUS,Canberra,-35.26666667,149.133333,14.989,1.32,627.402,14503.87
43,2014,AUS,Canberra,-35.26666667,149.133333,14.386,1.306,616.997,14475.18
44,1990,AUT,Vienna,48.2,16.366667,10.131,0.784,152.003,1167.06
45,1991,AUT,Vienna,48.2,16.366667,10.001,0.78,160.118,1241.7
46,1992,AUT,Vienna,48.2,16.366667,9.889,0.801,169.708,1330.63
47,1993,AUT,Vienna,48.2,16.366667,9.746,0.84,181.793,1437.19
48,1994,AUT,Vienna,48.2,16.366667,9.457,0.852,192.083,1524.39
49,1995,AUT,Vienna,48.2,16.366667,9.542,0.854,201.335,1600.27
50,1996,AUT,Vienna,48.2,16.366667,9.839,0.876,214.418,1706.56
51,1997,AUT,Vienna,48.2,16.366667,11.213,1.01,255.927,2039.24
52,1998,AUT,Vienna,48.2,16.366667,11.843,1.087,288.769,2303.45
53,1999,AUT,Vienna,48.2,16.366667,12.551,1.17,322.318,2576.07
54,2000,AUT,Vienna,48.2,16.366667,12.734,1.174,344.082,2756.64
55,2001,AUT,Vienna,48.2,16.366667,12.897,1.198,356.061,2863.55
56,2002,AUT,Vienna,48.2,16.366667,13.154,1.238,385.304,3114.01
57,2003,AUT,Vienna,48.2,16.366667,13.607,1.304,417.087,3387.34
58,2004,AUT,Vienna,48.2,16.366667,13.41,1.294,435.327,3557.48
