LOCATION,CAPITAL,LATITUDE,LONGDITUDE
AUS,Canberra,-35.26666667,149.133333
AUT,Vienna,48.2,16.366667
BEL,Brussels,50.83333333,4.333333
BGR,Sofia,42.68333333,23.316667
BRA,Brasilia,-15.78333333,-47.916667
CAN,Ottawa,45.41666667,-75.7
CHL,Santiago,-33.45,-70.666667
CHE,Bern,46.91666667,7.466667
COL,Bogota,4.6,-74.083333
CRI,San Jose,9.933333333,-84.083333
CYP,Nicosia,35.16666667,33.366667
CZE,Prague,50.08333333,14.466667
DEU,Berlin,52.51666667,13.4
DNK,Copenhagen,55.66666667,12.583333
ESP,Madrid,40.4,-3.683333
EST,Tallinn,59.43333333,24.716667
FIN,Helsinki,60.16666667,24.933333
FRA,Paris,48.86666667,2.333333
GBR,London,51.5,-0.083333
GRC,Athens,37.98333333,23.733333
HUN,Budapest,47.5,19.083333
HRV,Zagreb,45.8,16
IRL,Dublin,53.31666667,-6.233333
ISL,Reykjavik,64.15,-21.95
ISR,Jerusalem,31.76666667,35.233333
ITA,Rome,41.9,12.483333
JPN,Tokyo,35.68333333,139.75
KOR,Seoul,37.55,126.983333
LTU,Vilnius,54.68333333,25.316667
LUX,Luxembourg,49.6,6.116667
LVA,Riga,56.95,24.1
MEX,Mexico City,19.43333333,-99.133333
MLT,Valletta,35.88333333,14.5
NLD,Amsterdam,52.35,4.916667
NOR,Oslo,59.91666667,10.75
NZL,Wellington,-41.3,174.783333
POL,Warsaw,52.25,21
PRT,Lisbon,38.71666667,-9.133333
ROU,Bucharest,44.43333333,26.1
SVK,Bratislava,48.15,17.116667
SVN,Ljubljana,46.05,14.516667
SWE,Stockholm,59.33333333,18.05
TUR,Ankara,39.93333333,32.866667
USA,"Washington, D.C.",38.883333,-77
