"game_id","title","release","genre","developer","country","platform","percentage_non_male","criteria","female_team","female_teampercentage","avg_reviews","age_range","sexualization_total","gender","damsel_in_distress"
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Female",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Teenager",0,"Custom",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Elderly",0,"Female",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Adult",0,"Female",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Teenager",0,"Female",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Adult",0,"Female",False
"SMO","Super Mario Odyssey","2017-10-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Nintendo Switch","40%","SR",1,"9%",9.8,"Adult",2,"Female",True
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Teenager",0,"Female",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Child",0,"Custom",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Young adult",2,"Female",True
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Child",0,"Female",False
"UT","Undertale","2015-09-01 00:00:00","RPG","Toby Fox","USA","Multi","45%","TR",1,"50%",9.6,"Teenager",0,"Non-binary",False
"BB","Bloodborne","2015-03-01 00:00:00","RPG","FromSoftware","JPN","PS4","40%","TR",0,"0%",9.1,"Adult",0,"Custom",False
"SK","Shovel Knight: Shovel of Hope","2014-06-01 00:00:00","Action","Yacht Club Games","USA","Multi","17%","TR",1,"11%",8.7,"Adult",1,"Female",True
"TLOU","The Last of Us","2013-06-01 00:00:00","Action-adventure","Naughty Dog","USA","PS3","33%","TR",0,"0%",9.4,"Child",0,"Female",False
"BSI","BioShock Infinite","2013-03-01 00:00:00","Action","Irrational Games","USA","Multi","57%","TR",0,"0%",9.5,"Young adult",0,"Female",False
"JRN","Journey","2012-03-01 00:00:00","Adventure","Thatgamecompany","USA","PS3","100%","TR",1,"14%",9.2,"Unknown",1,"Non-binary",True
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Middle-aged",3,"Female",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Young adult",3,"Female",True
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Female",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Female",False
"SMO","Super Mario Odyssey","2017-10-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Nintendo Switch","40%","SR",1,"9%",9.8,"Unknown",2,"Female",True
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Young adult",0,"Female",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Middle-aged",1,"Female",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Elderly",0,"Female",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Child",1,"Female",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Child",0,"Female",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Middle-aged",0,"Female",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Adult",2,"Female",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Adult",2,"Female",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Adult",2,"Female",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Unknown",0,"Female",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Unknown",0,"Female",False
"BL2","Borderlands 2","2012-09-01 00:00:00","Action","Gearbox Software","USA","Multi","33%","MS",0,"0%",8.5,"Adult",0,"Female",False
"BL2","Borderlands 2","2012-09-01 00:00:00","Action","Gearbox Software","USA","Multi","33%","MS",0,"0%",8.5,"Adult",1,"Female",True
"BL2","Borderlands 2","2012-09-01 00:00:00","Action","Gearbox Software","USA","Multi","33%","MS",0,"0%",8.5,"Adult",0,"Female",False
"BL2","Borderlands 2","2012-09-01 00:00:00","Action","Gearbox Software","USA","Multi","33%","MS",0,"0%",8.5,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Middle-aged",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Young adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"TWD","The Walking Dead","2012-04-01 00:00:00","Adventure","Telltale Games","USA","Multi","39%","SR",0,"0%",8.7,"Adult",0,"Female",False
"GOW","God of War","2018-04-01 00:00:00","Action-adventure","Santa Monica Studio","USA","Multi","14%","TR",1,"11%",9.6,"Adult",0,"Female",False
"UC4","Uncharted 4: A Thief's End","2016-05-01 00:00:00","Action-adventure","Naughty Dog","USA","Multi","33%","TR",1,"7%",9.5,"Adult",0,"Female",False
"UC4","Uncharted 4: A Thief's End","2016-05-01 00:00:00","Action-adventure","Naughty Dog","USA","Multi","33%","TR",1,"7%",9.5,"Adult",0,"Female",False
"UT","Undertale","2015-09-01 00:00:00","RPG","Toby Fox","USA","Multi","45%","TR",1,"50%",9.6,"Adult",0,"Female",False
"UT","Undertale","2015-09-01 00:00:00","RPG","Toby Fox","USA","Multi","45%","TR",1,"50%",9.6,"Adult",0,"Female",False
"UT","Undertale","2015-09-01 00:00:00","RPG","Toby Fox","USA","Multi","45%","TR",1,"50%",9.6,"Adult",0,"Female",False
"UT","Undertale","2015-09-01 00:00:00","RPG","Toby Fox","USA","Multi","45%","TR",1,"50%",9.6,"Adult",0,"Non-binary",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Middle-aged",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Middle-aged",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Adult",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Young adult",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Adult",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Unknown",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Middle-aged",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Adult",0,"Male",False
"GTAV","Grand Theft Auto V","2013-11-01 00:00:00","Action-adventure","Rockstar North","GBR","Multi","18%","MS",0,"0%",9.4,"Unknown",0,"Male",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Young adult",0,"Male",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Teenager",0,"Male",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Adult",0,"Male",False
"PSS","Pokémon Sword/Shield","2019-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo Switch","56%","MS",1,"11%",8.3,"Teenager",0,"Male",False
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Male",False
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Male",False
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Male",False
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Male",False
"CODMW","Call of Duty: Modern Warfare","2019-10-01 00:00:00","Action","Infinity Ward","USA","Multi","17%","MS",0,"0%",7.8,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Infant",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Young adult",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"RDR2","Red Dead Redemption 2","2018-12-01 00:00:00","Action-adventure","Rockstar Studios","USA","Multi","29%","SR",0,"0%",9.6,"Middle-aged",0,"Male",False
"SMO","Super Mario Odyssey","2017-10-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Nintendo Switch","40%","SR",1,"9%",9.8,"Adult",0,"Male",False
"SMO","Super Mario Odyssey","2017-10-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Nintendo Switch","40%","SR",1,"9%",9.8,"Unknown",0,"Male",False
"SMO","Super Mario Odyssey","2017-10-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Nintendo Switch","40%","SR",1,"9%",9.8,"Unknown",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Teenager",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Middle-aged",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Young adult",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Middle-aged",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Teenager",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Young adult",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Adult",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Adult",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Elderly",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Elderly",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Adult",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Elderly",0,"Male",False
"BOTW","The Legend of Zelda: Breath of the Wild","2017-03-01 00:00:00","Action-adventure","Nintendo EDP","JPN","Multi","28%","SR",0,"0%",9.9,"Unknown",0,"Male",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Child",0,"Male",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Adult",0,"Male",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Adult",0,"Male",False
"PSM","Pokémon Sun/Moon","2016-11-01 00:00:00","RPG","Game Freak","JPN","Nintendo 3DS","43%","MS",0,"0%",8.7,"Teenager",0,"Male",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Adult",2,"Male",False
"TW3","The Witcher 3: Wild Hunt","2015-05-01 00:00:00","RPG","CD Projeket Red","POL","Multi","32%","SR",0,"0%",9.1,"Adult",0,"Male",False
